scenario,protocol,variant,masked_mae,status
random_missing_50,10e_grin_pretrain_plus_3e_correction,direct_concat_scenario_token,1.025068,rejected
random_missing_50,1e_grin_pretrain_plus_1e_correction,zero_init_scenario_adapter,1.725832,smoke_passed
random_missing_50,10e_grin_pretrain_plus_3e_correction,zero_init_scenario_adapter,,timeout
random_missing_50,5e_grin_pretrain_plus_1e_correction,zero_init_scenario_adapter,,timeout
random_missing_50,30e_cached_grin_plus_5e_correction,default_litetrust,0.640533,accepted_reference
noise_random_missing,30e_cached_grin_plus_5e_correction,default_litetrust,0.649023,accepted_reference
incident_perturbation,30e_cached_grin_plus_5e_correction,default_litetrust,0.644692,accepted_reference
random_missing_50,30e_cached_grin_plus_5e_correction,zero_init_scenario_adapter,0.640685,rejected_slightly_worse
noise_random_missing,30e_cached_grin_plus_5e_correction,zero_init_scenario_adapter,0.649245,rejected_slightly_worse
incident_perturbation,30e_cached_grin_plus_5e_correction,zero_init_scenario_adapter,0.644782,rejected_slightly_worse
