backbone,base_test_mae,dataset,delta_abs_mean,failure_score_mean,gate_mean,mae,mape,masked_mae,model,plugin,plugin_gain_pct,plugin_val_mae,rmse,scenario,seed
SAITS,0.2621139318140132,PEMS03,0.0757691701439838,0.0856741792002934,1.0,0.1719354838132858,0.5195931792259216,0.2148754757428466,SAITS+DoRAAdapter,DoRAAdapter,18.022108075005068,0.1779877841472625,0.2784264385700226,random_missing_50,1
MagiNet,0.1503687580245781,PEMS03,0.0496116462422046,0.0856741792002934,1.0,0.1191892251372337,0.4279757142066955,0.1338424402742113,MagiNet+DoRAAdapter,DoRAAdapter,10.990526202035646,0.1346813887357711,0.1730054169893264,random_missing_50,1
BRITS,0.2681940686903888,PEMS03,0.0791799597624724,0.0856741792002934,1.0,0.1482095867395401,0.418971300125122,0.2203724980511738,BRITS+DoRAAdapter,DoRAAdapter,17.830957587067903,0.1655809432268142,0.2681353092193603,random_missing_50,1
ImputeFormer,0.1658102531181217,PEMS03,0.0577032009469002,0.0856741792002934,1.0,0.1092200651764869,0.3746301531791687,0.1424078033290535,ImputeFormer+DoRAAdapter,DoRAAdapter,14.113994369453447,0.1325747221708297,0.1751706153154373,random_missing_50,1
SAITS,0.550815285180588,PEMS03,0.0900449841936057,0.773468017578125,1.0,0.2230860739946365,0.4713248312473297,0.5379216084227755,SAITS+DoRAAdapter,DoRAAdapter,2.340834959506477,0.3829173743724823,0.4760822057723999,sensor_failure_30,1
MagiNet,0.7049558170116579,PEMS03,0.027449147352177,0.773468017578125,1.0,0.2415994256734848,0.8450062274932861,0.7043699935960621,MagiNet+DoRAAdapter,DoRAAdapter,0.0831007279405253,0.5367796421051025,0.507244348526001,sensor_failure_30,1
BRITS,0.5791577966042397,PEMS03,0.094612894028518,0.773468017578125,1.0,0.2329074740409851,0.4953394532203674,0.5616738387728777,BRITS+DoRAAdapter,DoRAAdapter,3.0188590974472325,0.4202611744403839,0.4726347923278808,sensor_failure_30,1
ImputeFormer,0.8691312130366531,PEMS03,0.1800502765215817,0.773468017578125,1.0,0.3499279916286468,0.8538237810134888,0.7876993339752483,ImputeFormer+DoRAAdapter,DoRAAdapter,9.369342377762546,0.6100523471832275,0.5625660419464111,sensor_failure_30,1
SAITS,0.2859180117388114,PEMS03,0.0735012739017791,0.0856741792002934,1.0,0.1938211172819137,0.506655216217041,0.2449616826393983,SAITS+DoRAAdapter,DoRAAdapter,14.32450122688563,0.2008513808250427,0.3272910416126251,incident_perturbation,1
MagiNet,0.1686655699743213,PEMS03,0.0497606096386647,0.0856741792002934,1.0,0.1291648745536804,0.3963845372200012,0.1542160846936904,MagiNet+DoRAAdapter,DoRAAdapter,8.566944209675306,0.1458119451999664,0.2182640433311462,incident_perturbation,1
BRITS,0.29206426540719,PEMS03,0.084056374094369,0.0856741792002934,1.0,0.1768317967653274,0.4347201883792877,0.2448389065939105,BRITS+DoRAAdapter,DoRAAdapter,16.1695093877503,0.1896906495094299,0.3151566386222839,incident_perturbation,1
ImputeFormer,0.1913419530676816,PEMS03,0.068815257015774,0.0856741792002934,1.0,0.1517754942178726,0.4247488975524902,0.1684565727026779,ImputeFormer+DoRAAdapter,DoRAAdapter,11.960461361502173,0.1590863317251205,0.2390832901000976,incident_perturbation,1
SAITS,0.2647899650008006,PEMS03,0.0736381972546507,0.0862635847067964,1.0,0.1646294295787811,0.4885508418083191,0.2167446622126917,SAITS+DoRAAdapter,DoRAAdapter,18.144684141622797,0.1770668029785156,0.2797951996326446,random_missing_50,2
MagiNet,0.1514868660887143,PEMS03,0.0653127737866277,0.0862635847067964,1.0,0.1214014813303947,0.419262558221817,0.1311011629932822,MagiNet+DoRAAdapter,DoRAAdapter,13.45707626131351,0.133199393749237,0.1731431782245636,random_missing_50,2
BRITS,0.2666722125280212,PEMS03,0.0781847682178702,0.0862635847067964,1.0,0.1735535413026809,0.5147557258605957,0.2194285103596538,BRITS+DoRAAdapter,DoRAAdapter,17.71601987342536,0.1643781512975692,0.2770377099514007,random_missing_50,2
ImputeFormer,0.1536537465155463,PEMS03,0.0491404635142216,0.0862635847067964,1.0,0.1254371106624603,0.4167502820491791,0.1342608966509214,ImputeFormer+DoRAAdapter,DoRAAdapter,12.62113700733146,0.1286592930555343,0.1770691126585006,random_missing_50,2
SAITS,0.4512053397585669,PEMS03,0.014926390484486,0.7769802961022683,1.0,0.1428611278533935,0.3208555579185486,0.4509716093354507,SAITS+DoRAAdapter,DoRAAdapter,0.0518013424312126,0.4027946293354034,0.3866940438747406,sensor_failure_30,2
MagiNet,0.6642157058478144,PEMS03,0.1334658827737113,0.7769802961022683,1.0,0.2164314538240432,0.8478813767433167,0.6434510132976782,MagiNet+DoRAAdapter,DoRAAdapter,3.126197162656956,0.5164350271224976,0.4825262427330017,sensor_failure_30,2
BRITS,0.5076605776017329,PEMS03,0.1240315541300075,0.7769802961022683,1.0,0.2365759462118148,0.6348368525505066,0.4915742963273948,BRITS+DoRAAdapter,DoRAAdapter,3.1687079879891624,0.4122177958488464,0.3981455564498901,sensor_failure_30,2
