dataset,scenario,seed,backbone,masked_mae_phypro,masked_mae_dora
PEMS03,random_missing_50,1,SAITS,0.2118212496560895,0.2148754757428466
PEMS03,random_missing_50,1,MagiNet,0.1321897067589875,0.1338424402742113
PEMS03,sensor_failure_30,1,SAITS,0.5440408106533537,0.5379216084227755
PEMS03,sensor_failure_30,1,MagiNet,0.7001230115088347,0.7043699935960621
PEMS03,incident_perturbation,1,SAITS,0.2396165971203228,0.2449616826393983
PEMS03,incident_perturbation,1,MagiNet,0.1537310276045488,0.1542160846936904
PEMS03,random_missing_50,2,SAITS,0.2092524470781536,0.2167446622126917
PEMS03,random_missing_50,2,MagiNet,0.130904409062127,0.1311011629932822
PEMS03,sensor_failure_30,2,SAITS,0.4520752808758032,0.4509716093354507
PEMS03,sensor_failure_30,2,MagiNet,0.632832132024557,0.6434510132976782
PEMS03,incident_perturbation,2,SAITS,0.2416031944161402,0.2423416791154764
PEMS03,incident_perturbation,2,MagiNet,0.1569688818042373,0.157028756636838
PEMS03,random_missing_50,3,SAITS,0.2127305467703662,0.2181950716149624
PEMS03,random_missing_50,3,MagiNet,0.1302643844079369,0.1419359354983113
PEMS03,sensor_failure_30,3,SAITS,0.4830988708686234,0.4913167032497322
PEMS03,sensor_failure_30,3,MagiNet,0.6494080730687792,0.6562113063729069
PEMS03,incident_perturbation,3,SAITS,0.2373807175508065,0.2428274717215978
PEMS03,incident_perturbation,3,MagiNet,0.159812593601693,0.161939828555363
PEMS04,random_missing_50,1,SAITS,0.1590613785981152,0.1625344478342834
PEMS04,random_missing_50,1,MagiNet,0.1446504616404324,0.1454457241487777
PEMS04,sensor_failure_30,1,SAITS,0.4792234448419101,0.456027348836263
PEMS04,sensor_failure_30,1,MagiNet,0.5760126528532609,0.583275670590608
PEMS04,incident_perturbation,1,SAITS,0.1851864315587767,0.1894252236919251
PEMS04,incident_perturbation,1,MagiNet,0.1603151152670073,0.1605183317445135
PEMS04,random_missing_50,2,SAITS,0.1591442137224809,0.1594330149237934
PEMS04,random_missing_50,2,MagiNet,0.1428683319220999,0.1430151718617696
PEMS04,sensor_failure_30,2,SAITS,0.3053779049196105,0.3327816396519757
PEMS04,sensor_failure_30,2,MagiNet,0.5369371607683707,0.5484142579894135
PEMS04,incident_perturbation,2,SAITS,0.1843331756720999,0.187838811785563
PEMS04,incident_perturbation,2,MagiNet,0.1624189974068585,0.1620824347745554
PEMS04,random_missing_50,3,SAITS,0.1608812580763083,0.1615802472891233
PEMS04,random_missing_50,3,MagiNet,0.1437485587508926,0.1553246948271245
PEMS04,sensor_failure_30,3,SAITS,0.3746549633965976,0.4245190274888191
PEMS04,sensor_failure_30,3,MagiNet,0.5638559866642606,0.5730351987092391
PEMS04,incident_perturbation,3,SAITS,0.1872589394638181,0.1959861511236695
PEMS04,incident_perturbation,3,MagiNet,0.1638799196407317,0.1726257114590063
PEMS08,random_missing_50,1,SAITS,0.22801823020936,0.2500120160379065
PEMS08,random_missing_50,1,MagiNet,0.1196967916005759,0.1247167057395936
PEMS08,sensor_failure_30,1,SAITS,0.4053026585797079,0.3880127052855647
PEMS08,sensor_failure_30,1,MagiNet,0.4487767936357485,0.4505254209431168
PEMS08,incident_perturbation,1,SAITS,0.2441513176194638,0.276875981735863
PEMS08,incident_perturbation,1,MagiNet,0.1349738227832019,0.1413775288120226
PEMS08,random_missing_50,2,SAITS,0.222342457578882,0.2577457528574604
PEMS08,random_missing_50,2,MagiNet,0.1195916697889197,0.1289123587559794
PEMS08,sensor_failure_30,2,SAITS,0.3912204418307036,0.4065886104808134
PEMS08,sensor_failure_30,2,MagiNet,0.4877582624846813,0.4889971165875204
PEMS08,incident_perturbation,2,SAITS,0.241482417802496,0.2827838068138262
PEMS08,incident_perturbation,2,MagiNet,0.1413013500829832,0.1481038840668312
PEMS08,random_missing_50,3,SAITS,0.2476658279052539,0.277408942129061
PEMS08,random_missing_50,3,MagiNet,0.124307596016551,0.1328763876867361
PEMS08,sensor_failure_30,3,SAITS,0.4100948657864838,0.3963673161525352
PEMS08,sensor_failure_30,3,MagiNet,0.549346175848269,0.5565618876538245
