backbone,Method,mae,std,gain,runs
BRITS,PhyPro,0.3432908095155412,0.12959614415566376,12.800592322843327,45
BRITS,GenericAdapter,0.3501869334205838,0.13235513036169513,11.050073417137215,45
BRITS,FailureAnomalyGuard,0.35676103054456376,0.13005367684655703,9.01867252348871,45
BRITS,CalibrationGuard,0.3576647648778598,0.13030186292272128,8.77792316359823,45
BRITS,PhyGuard,0.35770556307027174,0.12488597332050418,8.37567868207842,45
BRITS,Backbone,0.38739068163743157,0.1254218063541862,0.0,45
ImputeFormer,PhyPro,0.358543658379364,0.23279911480701662,10.236245969921185,45
ImputeFormer,GenericAdapter,0.36432376850534,0.23727031651245784,8.813956755166577,45
ImputeFormer,PhyGuard,0.36944835591891667,0.23774390080649363,7.117536897309554,45
ImputeFormer,FailureAnomalyGuard,0.37006425722887404,0.2412423077044704,7.498011593161772,45
ImputeFormer,CalibrationGuard,0.37025707036159733,0.2409717606895892,7.316123930979042,45
ImputeFormer,Backbone,0.3968933241900367,0.2534085479640934,0.0,45
MagiNet,PhyPro,0.33745858592664263,0.21688158608578711,7.763589274571254,45
MagiNet,GenericAdapter,0.3406948245005751,0.21871880886341805,6.833666770439568,45
MagiNet,FailureAnomalyGuard,0.34428551979359145,0.2207326381295273,5.819146491098335,45
MagiNet,CalibrationGuard,0.344698980314798,0.22100896818718055,5.7266944791204715,45
MagiNet,PhyGuard,0.3460778493953694,0.22159918853504626,5.219975260244623,45
MagiNet,Backbone,0.36104062788125113,0.22358438795822064,0.0,45
SAITS,PhyPro,0.3371860635311878,0.11912065910110374,11.509873807552728,45
SAITS,GenericAdapter,0.34312589211535005,0.1195174981254353,9.86246099460268,45
SAITS,FailureAnomalyGuard,0.3490793925200713,0.11680039486834368,7.976666035475082,45
SAITS,CalibrationGuard,0.34985342388307494,0.11805396164167442,7.834724042326319,45
SAITS,PhyGuard,0.3508260450130054,0.11439889272668759,7.296212170820806,45
SAITS,Backbone,0.37622876986146336,0.11500634535623305,0.0,45
