dataset,scenario,best_base_model,best_base_mae_mean,best_base_mae_std,best_plugin_model,best_plugin_mae_mean,best_plugin_mae_std,best_gain_pct
METR-LA,incident_perturbation,ImputeFormer,0.3670674330430749,0.0359334986951692,ImputeFormer + PhyGuard,0.3455255705342244,0.0299081281228674,5.868638993730226
METR-LA,random_missing_50,ImputeFormer,0.3370710724366484,0.0244633805573855,ImputeFormer + PhyGuard,0.3180849906650878,0.0223284412359901,5.63266424327438
METR-LA,sensor_failure_30,SAITS,0.5013504301775313,0.0609888086384471,SAITS + PhyGuard,0.4908170255708865,0.0541186398581251,2.1010063964470658
PEMS-BAY,incident_perturbation,MagiNet,0.2632184764472734,0.001748375981172,MagiNet + PhyGuard,0.237288863124125,0.0046629013877153,9.850985262557169
PEMS-BAY,random_missing_50,MagiNet,0.2453737620655168,0.001261192208905,MagiNet + PhyGuard,0.2164212445894417,0.0029904128058872,11.799353456684814
PEMS-BAY,sensor_failure_30,SAITS,0.5314971335620836,0.0245725526569147,SAITS + PhyGuard,0.5149865009887419,0.0232427353284512,3.106438686261164
PEMS03,incident_perturbation,MagiNet,0.1734361440462898,0.0044387173595156,MagiNet + PhyGuard,0.1593125324957348,0.0039428890332382,8.14340726278219
PEMS03,random_missing_50,MagiNet,0.1501374006147745,0.0014787806304846,MagiNet + PhyGuard,0.1345828838548788,0.0008133744752853,10.360187865384589
PEMS03,sensor_failure_30,SAITS,0.4975383913034218,0.0538982162336219,SAITS + PhyGuard,0.4838271888740832,0.0518480270577018,2.7558079273880343
PEMS04,incident_perturbation,MagiNet,0.1723084702558714,0.0015149485464942,MagiNet + PhyGuard,0.1634405219475893,0.0022609630421877,5.146553907137357
PEMS04,random_missing_50,MagiNet,0.1565733641263431,0.0018150416976349,MagiNet + PhyGuard,0.1458054311554616,0.0012581360590419,6.8772444348788415
PEMS04,sensor_failure_30,SAITS,0.4149559039424582,0.0699046541846885,SAITS + PhyGuard,0.387335229035161,0.0678985919479809,6.656291583003335
PEMS08,incident_perturbation,MagiNet,0.1493541723265688,0.0041718721675276,MagiNet + PhyGuard,0.1467871458436211,0.004996215142301,1.7187511021351347
PEMS08,random_missing_50,MagiNet,0.1332858144288619,0.0018187808818921,MagiNet + PhyGuard,0.1299937022363127,0.0016694556013412,2.4699644194366206
PEMS08,sensor_failure_30,BRITS,0.4257401111079197,0.0082612214002013,BRITS + PhyGuard,0.4147807185686232,0.0100291071227614,2.574197791882109
