backbone,scenario,base_mae_mean,phyguard_mae_mean,gain_pct_mean,gain_pct_std,wins,runs,gate_mean,delta_abs_mean,failure_score_mean,win_rate_pct
BRITS,incident_perturbation,0.3334082948541158,0.3003296522353912,10.033238141127365,2.4250697618392527,15,15,0.6409817473679366,0.0926916286311904,0.0763506763223258,100.0
BRITS,random_missing_50,0.3169213520541748,0.2834445134878335,10.7443980033584,3.3265867786848324,15,15,0.6410048742999407,0.0890908411058574,0.0763506763223258,100.0
BRITS,sensor_failure_30,0.5084909620437602,0.4850492347583783,4.698216105625581,2.969730414985976,15,15,0.8243051342827706,0.1400122045261968,0.7825497873265203,100.0
ImputeFormer,incident_perturbation,0.2384974717883121,0.221480456401978,6.919988869998265,3.118460625911765,15,15,0.6217288882751177,0.0665672519255579,0.0763506763223258,100.0
ImputeFormer,random_missing_50,0.2168156138390872,0.1990903999144013,8.157664743128192,3.839733073841768,15,15,0.6231077890583858,0.0630576276704276,0.0763506763223258,100.0
ImputeFormer,sensor_failure_30,0.7403840691322965,0.6915425870014855,6.529460064114576,3.058067932327837,15,15,0.7693062096212416,0.1406975840646644,0.7825497873265203,100.0
MagiNet,incident_perturbation,0.2269818428240626,0.2129121826667082,5.97903367477015,2.9891768136425614,15,15,0.6073099245283371,0.0637458195733556,0.0763506763223258,100.0
MagiNet,random_missing_50,0.2085949289581007,0.1926202176670598,7.493728015259501,3.4729291392928685,15,15,0.624287120465706,0.0647081730460459,0.0763506763223258,100.0
MagiNet,sensor_failure_30,0.6475451118615898,0.6327011478523402,2.187164090704216,2.102877671416996,13,15,0.6001202913411976,0.0773306929289039,0.7825497873265203,86.66666666666667
SAITS,incident_perturbation,0.3389116577682685,0.3096311680933773,8.745586997635764,3.140942015643443,15,15,0.6312803758451051,0.0809868731295522,0.0763506763223258,100.0
SAITS,random_missing_50,0.3215230186393773,0.2914469378809546,9.510271679713076,4.197300745056774,15,15,0.6350830724835509,0.0752499985063338,0.0763506763223258,100.0
SAITS,sensor_failure_30,0.4761797995862594,0.4598873886258048,3.506146702697064,1.84502483499414,15,15,0.8107779085485646,0.1296177643675748,0.7825497873265203,100.0
