dataset,scenario,model,masked_mae_mean,masked_mae_std,rmse_mean,rmse_std,mape_mean,mape_std,mae_mean_std
METR-LA,incident_perturbation,BRITS,0.4604548702967906,0.0064875850119233,0.5760408639907837,0.0114587473323686,0.8692352771759033,0.0578360726251508,0.460455 +- 0.006488
METR-LA,incident_perturbation,BRITS + PhyGuard,0.423492490613351,0.0063435068765758,0.5529127717018127,0.0116218943518067,0.9854220151901244,0.0508466122158582,0.423492 +- 0.006344
METR-LA,incident_perturbation,ImputeFormer,0.3670674330430749,0.0359334986951692,0.4816418091456095,0.0432628676978351,0.9385945002237956,0.168552467334774,0.367067 +- 0.035933
METR-LA,incident_perturbation,ImputeFormer + PhyGuard,0.3455255705342244,0.0299081281228674,0.4674519697825114,0.0430362502997749,1.040839930375417,0.1603835248106301,0.345526 +- 0.029908
METR-LA,incident_perturbation,MagiNet,0.3765919510443097,0.0098549340683045,0.528701663017273,0.0179792019043801,0.8900526762008667,0.1054922899961617,0.376592 +- 0.009855
METR-LA,incident_perturbation,MagiNet + PhyGuard,0.357731849922471,0.0122132015966224,0.5125102698802948,0.0178471928483356,0.9750390847524008,0.0429046113143215,0.357732 +- 0.012213
METR-LA,incident_perturbation,SAITS,0.4724670309810772,0.0091684663546449,0.6316816806793213,0.0124482538870575,0.9036815961201986,0.0475065521027921,0.472467 +- 0.009168
METR-LA,incident_perturbation,SAITS + PhyGuard,0.4445031242296398,0.0096365072025,0.6113227208455404,0.0133579646350654,1.019960840543111,0.0515364921823098,0.444503 +- 0.009637
METR-LA,random_missing_50,BRITS,0.4461709358658932,0.007067751954759,0.5550088087717692,0.0097359827041007,0.8804158965746561,0.061851018492458,0.446171 +- 0.007068
METR-LA,random_missing_50,BRITS + PhyGuard,0.4080266260741143,0.0067949159053452,0.530962069829305,0.009772040290402,0.9996747175852456,0.0490038230116822,0.408027 +- 0.006795
METR-LA,random_missing_50,ImputeFormer,0.3370710724366484,0.0244633805573855,0.444165954987208,0.0429774724812182,0.92636509736379,0.1826215392664623,0.337071 +- 0.024463
METR-LA,random_missing_50,ImputeFormer + PhyGuard,0.3180849906650878,0.0223284412359901,0.4304210444291432,0.0428253854608102,1.0379045406977336,0.1575825244465808,0.318085 +- 0.022328
METR-LA,random_missing_50,MagiNet,0.357604303555007,0.0125907491107537,0.4995136857032776,0.0194722676820502,0.8270232478777567,0.109281762454183,0.357604 +- 0.012591
METR-LA,random_missing_50,MagiNet + PhyGuard,0.3362978264992045,0.0135595786572808,0.4837074379126231,0.0190487199683256,0.9461501240730286,0.046441917519433,0.336298 +- 0.013560
