dataset,scenario,BRITS,BRITS + PhyGuard,ImputeFormer,ImputeFormer + PhyGuard,MagiNet,MagiNet + PhyGuard,SAITS,SAITS + PhyGuard
METR-LA,incident_perturbation,0.460455 +- 0.006488,0.423492 +- 0.006344,0.367067 +- 0.035933,0.345526 +- 0.029908,0.376592 +- 0.009855,0.357732 +- 0.012213,0.472467 +- 0.009168,0.444503 +- 0.009637
METR-LA,random_missing_50,0.446171 +- 0.007068,0.408027 +- 0.006795,0.337071 +- 0.024463,0.318085 +- 0.022328,0.357604 +- 0.012591,0.336298 +- 0.013560,0.457469 +- 0.013535,0.428978 +- 0.013695
METR-LA,sensor_failure_30,0.564349 +- 0.057054,0.538772 +- 0.049270,0.767815 +- 0.049886,0.706704 +- 0.046963,0.743589 +- 0.032884,0.723750 +- 0.048050,0.501350 +- 0.060989,0.490817 +- 0.054119
PEMS-BAY,incident_perturbation,0.414339 +- 0.000647,0.364441 +- 0.001367,0.287750 +- 0.007708,0.258891 +- 0.007118,0.263218 +- 0.001748,0.237289 +- 0.004663,0.424456 +- 0.008563,0.374017 +- 0.007096
PEMS-BAY,random_missing_50,0.404119 +- 0.002716,0.351080 +- 0.002469,0.278479 +- 0.006505,0.247078 +- 0.005838,0.245374 +- 0.001261,0.216421 +- 0.002990,0.416956 +- 0.008501,0.361702 +- 0.005505
PEMS-BAY,sensor_failure_30,0.566065 +- 0.030041,0.550763 +- 0.031280,0.745138 +- 0.020777,0.714874 +- 0.018680,0.728087 +- 0.033967,0.700638 +- 0.022908,0.531497 +- 0.024573,0.514987 +- 0.023243
PEMS03,incident_perturbation,0.288706 +- 0.005021,0.253519 +- 0.003584,0.183242 +- 0.004068,0.166645 +- 0.002863,0.173436 +- 0.004439,0.159313 +- 0.003943,0.284154 +- 0.002725,0.250603 +- 0.002182
PEMS03,random_missing_50,0.267378 +- 0.002620,0.230852 +- 0.001812,0.156996 +- 0.003703,0.138974 +- 0.002461,0.150137 +- 0.001479,0.134583 +- 0.000813,0.263877 +- 0.001188,0.226958 +- 0.000913
PEMS03,sensor_failure_30,0.533508 +- 0.031602,0.513421 +- 0.036180,0.844581 +- 0.037922,0.789947 +- 0.039241,0.674660 +- 0.026656,0.669108 +- 0.032706,0.497538 +- 0.053898,0.483827 +- 0.051848
PEMS04,incident_perturbation,0.214539 +- 0.003055,0.190305 +- 0.003054,0.190620 +- 0.004463,0.175515 +- 0.002906,0.172308 +- 0.001515,0.163441 +- 0.002261,0.215006 +- 0.003741,0.195077 +- 0.001889
PEMS04,random_missing_50,0.188569 +- 0.002362,0.164460 +- 0.002005,0.166328 +- 0.004687,0.149643 +- 0.002563,0.156573 +- 0.001815,0.145805 +- 0.001258,0.185169 +- 0.003602,0.165737 +- 0.001992
PEMS04,sensor_failure_30,0.452793 +- 0.079798,0.407509 +- 0.069282,0.712028 +- 0.017517,0.634706 +- 0.024079,0.591213 +- 0.014304,0.571067 +- 0.019866,0.414956 +- 0.069905,0.387335 +- 0.067899
PEMS08,incident_perturbation,0.289002 +- 0.000580,0.269891 +- 0.004179,0.163808 +- 0.002569,0.160826 +- 0.001362,0.149354 +- 0.004172,0.146787 +- 0.004996,0.298475 +- 0.002314,0.283955 +- 0.005229
PEMS08,random_missing_50,0.278369 +- 0.003257,0.262804 +- 0.007510,0.145203 +- 0.001790,0.141672 +- 0.001394,0.133286 +- 0.001819,0.129994 +- 0.001669,0.284144 +- 0.010853,0.273860 +- 0.008276
PEMS08,sensor_failure_30,0.425740 +- 0.008261,0.414781 +- 0.010029,0.632359 +- 0.014461,0.611482 +- 0.007938,0.500177 +- 0.056548,0.498943 +- 0.055237,0.435557 +- 0.039967,0.422471 +- 0.033724
