missing_rate,method,paired_n,mean_reduction_vs_backbone,mean_gain_vs_backbone_pct,mean_reduction_vs_generic,mean_gain_vs_generic_pct
30,Generic Adapter,18,0.021266764462075045,6.1642078185789,,
30,Calibration Guard,18,0.015343580366293966,4.4980875793405515,,
30,Failure/Anomaly Guard,18,0.012226809359741691,3.6780195300009564,,
30,PhyPro,18,0.0358036197468717,10.622102692051515,,
30,PhyPro_vs_Generic Adapter,18,,,0.014536855284796653,4.692214921071902
50,Generic Adapter,18,0.021999668047603962,6.1772872388999165,,
50,Calibration Guard,18,0.017004786324546294,4.850161696831666,,
50,Failure/Anomaly Guard,18,0.015729631665442993,4.543559229192758,,
50,PhyPro,18,0.032871140098961464,9.355359283079304,,
50,PhyPro_vs_Generic Adapter,18,,,0.010871472051357505,3.362004226453708
70,Generic Adapter,18,0.021087115602003048,5.7010595592244755,,
70,Calibration Guard,18,0.01608122577890746,4.41350210221243,,
70,Failure/Anomaly Guard,18,0.015590054733099264,4.296362445192928,,
70,PhyPro,18,0.02756986842577669,7.6496484575645,,
70,PhyPro_vs_Generic Adapter,18,,,0.006482752823773639,2.0480205952082478
