backbone,base_test_mae,dataset,delta_abs_mean,failure_score_mean,fixed_harm_coef,gate_mean,harm_mode,mae,mape,masked_mae,model,plugin,plugin_gain_pct,plugin_val_mae,rmse,scenario,seed
SAITS,0.2630348667920029,PEMS03,,0.0856741792002934,,,,0.1303962022066116,0.3610138595104217,0.2630348667920029,SAITS,Backbone,0.0,,0.2970553040504455,random_missing_50,1
SAITS,0.2630348667920029,PEMS03,0.0763233389123257,0.0856741792002934,,1.0,,0.1530253440141677,0.4410291314125061,0.2137390091938738,SAITS+GenericAdapter,GenericAdapter,18.741187508464517,0.1770169138908386,0.2702522873878479,random_missing_50,1
SAITS,0.2630348667920029,PEMS03,0.0943490275930851,0.0856741792002934,,0.6135775862068965,,0.1468546539545059,0.4202977120876312,0.2252823075247615,SAITS+CalibrationGuard,CalibrationGuard,14.352682489464236,0.1859458684921264,0.2746671736240387,random_missing_50,1
SAITS,0.2630348667920029,PEMS03,0.0956158577127659,0.0856741792002934,,0.6139671794754219,,0.146606907248497,0.4182250797748565,0.2251311731933235,SAITS+FailureAnomalyGuard,FailureAnomalyGuard,14.4101403973383,0.1857429444789886,0.2745555341243744,random_missing_50,1
SAITS,0.2630348667920029,PEMS03,0.0887781791659024,0.0856741792002934,1.0,0.6185403292369772,failure_aware_soft,0.1453610360622406,0.4140435755252838,0.2262450706162876,SAITS+PhyGuard,PhyGuard,13.98666139755806,0.1867119371891021,0.2747002243995666,random_missing_50,1
MagiNet,0.1503687580245781,PEMS03,,0.0856741792002934,,,,0.0745434015989303,0.2599460780620575,0.1503687580245781,MagiNet,Backbone,0.0,,0.1640895158052444,random_missing_50,1
MagiNet,0.1503687580245781,PEMS03,0.0524972988696808,0.0856741792002934,,1.0,,0.0985106751322746,0.3393994569778442,0.1321083862573367,MagiNet+GenericAdapter,GenericAdapter,12.143727199141113,0.133151963353157,0.1611638963222503,random_missing_50,1
MagiNet,0.1503687580245781,PEMS03,0.076855776836482,0.0856741792002934,,0.585940365920763,,0.0922361388802528,0.3190451562404632,0.1348415719002201,MagiNet+CalibrationGuard,CalibrationGuard,10.326071936977804,0.1364114880561828,0.1591336131095886,random_missing_50,1
MagiNet,0.1503687580245781,PEMS03,0.0753594151228906,0.0856741792002934,,0.5844210266874541,,0.0920063629746437,0.3176593780517578,0.1348085994818415,MagiNet+FailureAnomalyGuard,FailureAnomalyGuard,10.347999642447856,0.1363798081874847,0.1589300036430359,random_missing_50,1
MagiNet,0.1503687580245781,PEMS03,0.0710298471317865,0.0856741792002934,1.0,0.5918413540902421,failure_aware_soft,0.0929517447948455,0.3216604590415954,0.1350456827769625,MagiNet+PhyGuard,PhyGuard,10.19033172110856,0.1368907541036605,0.15911266207695,random_missing_50,1
