scenario,variant,masked_mae,data_mae,phys_weight_mean,graph_weight_failed,directional_gate_failed,physics_residual
random_missing_50,GRINLite,0.983770,0.983770,,,,0.386272
random_missing_50,ReliabilityRouter,0.918611,1.035444,0.513983,,,0.399167
random_missing_50,ReliabilityRouter_directional_physics,0.918611,1.035444,0.513983,,,0.399167
random_missing_50,ReliabilityRouter_no_physics,0.999535,0.999535,0.000000,,,0.355625
sensor_failure_30,GRINLite,1.446590,1.446590,,,,0.304936
sensor_failure_30,ReliabilityRouter,1.255010,1.458291,0.152767,0.978923,0.000000,0.298395
sensor_failure_30,ReliabilityRouter_directional_physics,1.254534,1.457958,0.152925,0.978886,0.286197,0.297561
sensor_failure_30,ReliabilityRouter_no_physics,1.253872,1.457643,0.000000,0.998404,0.000000,0.314824
block_missing,GRINLite,2.015473,2.015473,,,,0.415014
block_missing,ReliabilityRouter,1.696104,2.088300,0.187982,0.992960,0.000000,0.238744
block_missing,ReliabilityRouter_directional_physics,1.695704,2.088134,0.189097,0.992894,0.092375,0.236436
block_missing,ReliabilityRouter_no_physics,1.696935,2.089304,0.000000,0.998307,0.000000,0.256420
temporal_missing,GRINLite,1.005791,1.005791,,,,0.384440
temporal_missing,ReliabilityRouter,0.945727,1.084661,0.413131,,,0.325316
temporal_missing,ReliabilityRouter_directional_physics,0.945727,1.084661,0.413131,,,0.325316
temporal_missing,ReliabilityRouter_no_physics,1.010718,1.010718,0.000000,,,0.336290
noise_random_missing,GRINLite,0.984451,0.984451,,,,0.384000
noise_random_missing,ReliabilityRouter,0.909122,1.025579,0.513467,,,0.388227
noise_random_missing,ReliabilityRouter_directional_physics,0.909122,1.025579,0.513467,,,0.388227
noise_random_missing,ReliabilityRouter_no_physics,1.001749,1.001749,0.000000,,,0.367750
incident_perturbation,GRINLite,0.982968,0.982968,,,,0.379976
incident_perturbation,ReliabilityRouter,0.922968,1.038122,0.513908,,,0.397733
incident_perturbation,ReliabilityRouter_directional_physics,0.922968,1.038122,0.513908,,,0.397733
incident_perturbation,ReliabilityRouter_no_physics,1.002917,1.002917,0.000000,,,0.354223
