variant,epoch,lambda_phys,train_data_mae,val_masked_mae,trust_mean,trust_std,log_var_mean,log_var_std,uncertainty_error_correlation
v2_trust_without_uncertainty,1,0.0,0.6998746916651726,0.4661116600036621,0.5981804132461548,0.012069839984178543,,,
v2_trust_without_uncertainty,2,0.0,0.3699804097414017,0.3111087679862976,0.5912452936172485,0.012789338827133179,,,
v2_trust_without_uncertainty,3,0.0,0.2961925007402897,0.26774731278419495,0.5887861847877502,0.012925850227475166,,,
v2_trust_without_uncertainty,4,0.0,0.2567682582885027,0.2420298457145691,0.5839787721633911,0.009279344230890274,,,
v2_trust_without_uncertainty,5,0.00045454545454545455,0.23657324723899364,0.22746512293815613,0.5642337203025818,0.005682407878339291,,,
v2_trust_without_uncertainty,6,0.0009090909090909091,0.2215495016425848,0.211395263671875,0.5309605002403259,0.006693748757243156,,,
v2_trust_without_uncertainty,7,0.0013636363636363635,0.20933128707110882,0.2010202705860138,0.49279657006263733,0.011579092592000961,,,
v2_trust_without_uncertainty,8,0.0018181818181818182,0.1982530765235424,0.18914476037025452,0.445909321308136,0.019161615520715714,,,
v2_trust_without_uncertainty,9,0.002272727272727273,0.1882359068840742,0.17944687604904175,0.3868967592716217,0.02934066578745842,,,
v2_trust_without_uncertainty,10,0.002727272727272727,0.17873487249016762,0.16930897533893585,0.31875136494636536,0.0390743687748909,,,
v2_trust_without_uncertainty,11,0.003181818181818182,0.1702294871211052,0.15963411331176758,0.24966907501220703,0.045554328709840775,,,
v2_trust_without_uncertainty,12,0.0036363636363636364,0.16210099309682846,0.15077440440654755,0.20196056365966797,0.048388831317424774,,,
v2_trust_without_uncertainty,13,0.00409090909090909,0.15540125407278538,0.14351315796375275,0.182706817984581,0.05285407230257988,,,
v2_trust_without_uncertainty,14,0.004545454545454546,0.15002732537686825,0.13780400156974792,0.18054962158203125,0.059738390147686005,,,
v2_trust_without_uncertainty,15,0.005,0.14602096006274223,0.1341644823551178,0.1815231591463089,0.06972118467092514,,,
v2_trust_without_uncertainty,16,0.005,0.1425996758043766,0.13103193044662476,0.18285539746284485,0.08164815604686737,,,
v2_trust_without_uncertainty,17,0.005,0.14027703925967216,0.12947233021259308,0.18578265607357025,0.09680160135030746,,,
v2_trust_without_uncertainty,18,0.005,0.1378764621913433,0.12643498182296753,0.1909513920545578,0.11454421281814575,,,
v2_trust_without_uncertainty,19,0.005,0.13601242378354073,0.12455680221319199,0.1911698281764984,0.13081307709217072,,,
v2_trust_without_uncertainty,20,0.005,0.1337414439767599,0.12329106032848358,0.19066636264324188,0.14832082390785217,,,
v3_trust_with_uncertainty,1,0.0,0.7007306292653084,0.4694748520851135,0.6026714444160461,0.011756368912756443,0.038449522107839584,0.4748101830482483,0.25458258781468834
v3_trust_with_uncertainty,2,0.0,0.37277284264564514,0.31110039353370667,0.6010733246803284,0.01224870327860117,-0.2675224840641022,0.45527058839797974,0.15202242714988082
v3_trust_with_uncertainty,3,0.0,0.2939717322587967,0.2673417031764984,0.6015543341636658,0.01247338205575943,-0.594445526599884,0.38813453912734985,0.19295660103088202
v3_trust_with_uncertainty,4,0.0,0.2593039497733116,0.24452349543571472,0.5975853204727173,0.010003861039876938,-0.8564310669898987,0.3487304747104645,0.20204805451396138
v3_trust_with_uncertainty,5,0.00045454545454545455,0.23727128840982914,0.22872048616409302,0.5763108730316162,0.006908043287694454,-1.0408918857574463,0.3680771291255951,0.14536288316599827
v3_trust_with_uncertainty,6,0.0009090909090909091,0.222883814945817,0.21236178278923035,0.5398747324943542,0.007183521054685116,-1.23201322555542,0.34547242522239685,0.15368622950780236
v3_trust_with_uncertainty,7,0.0013636363636363635,0.2108682580292225,0.2018110156059265,0.49825000762939453,0.013591586612164974,-1.364193081855774,0.34791624546051025,0.12665738546026287
v3_trust_with_uncertainty,8,0.0018181818181818182,0.20009827986359596,0.18972203135490417,0.4463711977005005,0.024130742996931076,-1.4700449705123901,0.3268725574016571,0.11179391851313021
v3_trust_with_uncertainty,9,0.002272727272727273,0.1901442613452673,0.17949393391609192,0.38171157240867615,0.03698103129863739,-1.5281708240509033,0.3220594823360443,0.10623725963415113
v3_trust_with_uncertainty,10,0.002727272727272727,0.18003025278449059,0.16988539695739746,0.3071964383125305,0.04856618493795395,-1.5703827142715454,0.3192126452922821,0.10343762710037155
v3_trust_with_uncertainty,11,0.003181818181818182,0.17102226428687572,0.1596052497625351,0.2336835116147995,0.053799763321876526,-1.6256537437438965,0.3160073161125183,0.11350447648917018
v3_trust_with_uncertainty,12,0.0036363636363636364,0.16200612112879753,0.14936280250549316,0.1911838948726654,0.05687076225876808,-1.6857688426971436,0.314362108707428,0.13661826415097783
v3_trust_with_uncertainty,13,0.00409090909090909,0.15442773513495922,0.1407967060804367,0.1788199096918106,0.062496837228536606,-1.74960458278656,0.31392931938171387,0.15646627606791255
v3_trust_with_uncertainty,14,0.004545454545454546,0.14819909259676933,0.13584141433238983,0.1831199675798416,0.07219928503036499,-1.8070039749145508,0.3212551176548004,0.17350327477860145
v3_trust_with_uncertainty,15,0.005,0.144117696210742,0.130837544798851,0.19056002795696259,0.08947844803333282,-1.861607313156128,0.3258322477340698,0.215449011218028
v3_trust_with_uncertainty,16,0.005,0.1405609380453825,0.12755431234836578,0.19173237681388855,0.10725627094507217,-1.9074840545654297,0.3299920856952667,0.25568031487276066
v3_trust_with_uncertainty,17,0.005,0.13776198029518127,0.1245930939912796,0.19198636710643768,0.12811963260173798,-1.9435102939605713,0.33559831976890564,0.29871989779902286
v3_trust_with_uncertainty,18,0.005,0.13523478992283344,0.12425695359706879,0.1919708400964737,0.1496720165014267,-1.9818609952926636,0.34179699420928955,0.3328033345229261
v3_trust_with_uncertainty,19,0.005,0.1333430279046297,0.12077058106660843,0.19310413300991058,0.17066581547260284,-2.0058341026306152,0.3494008183479309,0.3779230324206745
v3_trust_with_uncertainty,20,0.005,0.1313040591776371,0.11879702657461166,0.19706732034683228,0.19137243926525116,-2.032585382461548,0.36034074425697327,0.4072568900380604
